"","Name","Avg_Drive","Avg_Putts","Greens_Hit","Rounds_Played","Avg_Score"
"1","Anne van Dam",291.938,1.88,68.5,33,73.424
"2","Bianca Pagdanganan",285.021,1.863,70.3,23,72.13
"3","A Lim Kim",280.679,1.809,71.7,43,71.651
"4","Lexi Thompson",279.437,1.841,78.1,52,70.192
"5","Maria Fassi",278.107,1.853,64.7,28,73.5
"6","Patty Tavatanakit",276.081,1.737,70.8,44,70.182
"7","Nanna Koerstz Madsen",275.784,1.805,71.2,52,71.077
"8","Brooke Henderson",275.343,1.812,77.2,54,70.093
"9","Jessica Korda",274.922,1.774,76.5,51,70.02
"10","Nelly Korda",274.28,1.761,75.3,50,69.02
"11","Janie Jackson",273.525,1.823,76.9,20,71.85
"12","Madelene Sagstrom",272.941,1.781,68.9,52,71.192
"13","Gaby Lopez",272.804,1.804,73.7,52,70.5
"14","Alana Uriell",270.31,1.863,65.9,29,72.966
"15","Elizabeth Szokol",269.64,1.824,71.4,45,71.644
"16","Cydney Clanton",269.1,1.862,72.5,56,72.339
"17","Nicole Broch Larsen",269.052,1.775,69.4,49,71.837
"18","Carlota Ciganda",268.788,1.794,69.9,53,71.509
"19","Sei Young Kim",268.47,1.778,74,50,70.42
"20","Hannah Green",268.412,1.708,70.4,44,70.386
"21","Mel Reid",268.1,1.828,71.9,41,71.366
"22","Linnea Strom",267.4,1.852,65.6,41,73
"23","Alena Sharp",266.576,1.867,72.6,46,72.37
"24","Nuria Iturrioz",266.441,1.816,63.6,18,72.556
"25","Georgia Hall",266.111,1.779,72.7,64,70.734
"26","Charley Hull",265.645,1.772,73,56,71.018
"27","Jennifer Kupcho",265.642,1.831,75.8,55,70.836
"28","Yealimi Noh",265.545,1.79,69.9,63,70.952
"29","Ana Belac",265.527,1.796,68.4,29,72.034
"30","Elizabeth Nagel",265.517,1.866,67.4,29,73
"31","Ryann O'Toole",265.122,1.791,71,50,70.9
"32","Alison Lee",265,1.758,69.3,41,71.146
"33","Ally Ewing",264.973,1.801,74.6,56,70.696
"34","Hee Young Park",264.868,1.809,66.7,38,72.184
"35","Brittany Lincicome",263.841,1.853,76.3,45,71.378
"36","Minjee Lee",263.733,1.821,71.6,44,71.023
"37","Kendall Dye",263.6,1.89,70.4,18,72.611
"38","Daniela Darquea",263.385,1.92,64.3,26,74.462
"39","Jaye Marie Green",263.05,1.841,68.3,51,72.608
"40","Ariya Jutanugarn",262.582,1.782,70.8,51,70.137
"41","Mi Hyang Lee",262.407,1.818,68.2,44,72.568
"42","Celine Herbin",262.371,1.767,66.1,32,71.594
"43","Perrine Delacour",262.283,1.838,73.5,47,71.255
"44","Jeong Eun Lee",262.179,1.744,69,60,70.85
"45","Katherine Kirk",262.125,1.84,72.1,53,71.755
"46","Amy Yang",262.109,1.766,70.3,52,70.385
"47","Pajaree Anannarukarn",261.871,1.788,72.9,59,70.898
"48","Yu Liu",261.842,1.856,73,58,71.466
"49","Lauren Coughlin",261.765,1.761,77.3,25,71.08
"50","Nasa Hataoka",261.756,1.769,68.7,43,71.163
"51","Xiyu Lin",261.59,1.789,74.1,50,70.38
"52","Maia Schechter",261.537,1.957,63.9,20,74.5
"53","Angel Yin",261.404,1.754,63.2,52,71.269
"54","Sung Hyun Park",261.097,1.84,62.7,36,73.111
"55","Jenny Shin",261.009,1.807,69.2,54,71.444
"56","Sophia Popov",260.959,1.821,69.4,50,71.24
"57","Esther Henseleit",260.913,1.783,71.5,41,70.585
"58","Giulia Molinaro",260.878,1.826,67.6,42,72.238
"59","Jennifer Song",260.863,1.847,68.9,49,72.163
"60","Maria Torres",260.615,1.913,65.8,32,73.719
"61","Austin Ernst",260.587,1.803,74.5,53,70.755
"62","Paula Reto",260.5,1.796,69.6,40,71.575
"63","Stephanie Meadow",260.262,1.84,69.3,42,72.167
"64","Albane Valenzuela",259.83,1.837,68.3,47,71.702
"65","Lindy Duncan",259.605,1.816,66.5,43,71.535
"66","Jaclyn Lee",259.419,1.905,60.9,22,74.955
"67","Haley Moore",259.391,1.877,62.3,32,73.906
"68","Matilda Castren",259.257,1.818,77.5,37,70.459
"69","Lauren Stephenson",259.13,1.798,71.2,51,71.176
"70","Kelly Tan",258.967,1.859,61.9,30,73.233
"71","Lydia Ko",258.947,1.726,70.9,58,69.81
"72","Pernilla Lindberg",258.89,1.815,68.9,50,72.38
"73","Gerina Piller",258.635,1.823,74.2,53,71.245
"74","Linnea Johansson",258.4,1.874,63.9,18,73.167
"75","Brittany Lang",258.194,1.876,67.1,36,72.472
"76","Dani Holmqvist",258.013,1.86,66.8,38,72.737
"77","Jeongeun Lee",257.743,1.858,74.9,37,71.486
"78","Amy Olson",257.653,1.81,74.4,50,71.18
"79","So Yeon Ryu",257.533,1.76,69.4,45,70.422
"80","Leona Maguire",257.43,1.746,74.8,51,69.941
"81","Jin Young Ko",257.417,1.788,76.2,42,70.095
"82","In Gee Chun",257.13,1.781,74.1,55,69.982
"83","Luna Sobron",256.968,1.84,64.9,32,73.313
"84","Hyo Joo Kim",256.95,1.763,70.3,40,69.975
"85","Cristie Kerr",256.859,1.808,66,32,72.031
"86","Laura Davies",256.857,1.88,54.5,22,75.455
"87","Pavarisa Yoktuan",256.514,1.864,60.2,19,73.263
"88","Jenny Coleman",256.43,1.845,71,51,72.275
"89","Wichanee Meechai",256.406,1.824,70.1,54,71.574
"90","Min Lee",256.024,1.824,73.5,21,71.619
"91","Angela Stanford",255.932,1.82,70.2,44,71.091
"92","Jodi Ewart Shadoff",255.7,1.884,75.6,36,71.917
"93","Su-Hyun Oh",255.51,1.779,68,51,71.392
"94","Celine Boutier",255.375,1.797,72.6,57,70.684
